4.0,9.0,USTH-PMAB,48,160.0,2018-11-27,16:46:5
4.0,9.0,BTTN 07,50,160.0,2018-11-27,16:46:5
4.0,9.0,USTH-UIU,35,160.0,2018-11-27,16:46:5
4.0,9.0,USTH_404,39,160.0,2018-11-27,16:46:5
4.0,9.0,,37,160.0,2018-11-27,16:46:5
4.0,9.0,USTH-WEO-RE,30,160.0,2018-11-27,16:46:5
4.0,9.0,USTH-6TH-STAFF,19,160.0,2018-11-27,16:46:5

4.0,9.0,ICTLab Y,99,250.0,2018-11-27,16:46:8
4.0,9.0,ICTLab 506,81,250.0,2018-11-27,16:46:8
4.0,9.0,ICTLab Y 5GHz,70,250.0,2018-11-27,16:46:8
4.0,9.0,USTH-PUBLICT6,74,250.0,2018-11-27,16:46:8
4.0,9.0,USTH502-Guest1,66,250.0,2018-11-27,16:46:8
4.0,9.0,USTH502-Guest2,57,250.0,2018-11-27,16:46:8
4.0,9.0,USTH-412,48,250.0,2018-11-27,16:46:8
4.0,9.0,USTH-PMAB,46,250.0,2018-11-27,16:46:8
4.0,9.0,BTTN 07,50,250.0,2018-11-27,16:46:8
4.0,9.0,USTH-UIU,35,250.0,2018-11-27,16:46:8
4.0,9.0,USTH-WEO-RE,33,250.0,2018-11-27,16:46:8
4.0,9.0,USTH_404,39,250.0,2018-11-27,16:46:8
4.0,9.0,,37,250.0,2018-11-27,16:46:8
4.0,9.0,TP-Link_6300,28,250.0,2018-11-27,16:46:8
4.0,9.0,USTH-6TH-STAFF,19,250.0,2018-11-27,16:46:8

4.0,9.0,ICTLab Y,99,343.0,2018-11-27,16:46:11
4.0,9.0,ICTLab 506,81,343.0,2018-11-27,16:46:11
4.0,9.0,ICTLab Y 5GHz,70,343.0,2018-11-27,16:46:11
4.0,9.0,USTH-PUBLICT6,74,343.0,2018-11-27,16:46:11
4.0,9.0,USTH502-Guest1,66,343.0,2018-11-27,16:46:11
4.0,9.0,USTH502-Guest2,57,343.0,2018-11-27,16:46:11
4.0,9.0,USTH-412,48,343.0,2018-11-27,16:46:11
4.0,9.0,USTH-PMAB,46,343.0,2018-11-27,16:46:11
4.0,9.0,BTTN 07,50,343.0,2018-11-27,16:46:11
4.0,9.0,USTH-UIU,35,343.0,2018-11-27,16:46:11
4.0,9.0,USTH-WEO-RE,33,343.0,2018-11-27,16:46:11
4.0,9.0,USTH_404,39,343.0,2018-11-27,16:46:11
4.0,9.0,,37,343.0,2018-11-27,16:46:11
4.0,9.0,TP-Link_6300,28,343.0,2018-11-27,16:46:11
4.0,9.0,USTH-6TH-STAFF,19,343.0,2018-11-27,16:46:11

5.0,9.0,ICTLab Y,99,75.0,2018-11-27,16:46:20
5.0,9.0,ICTLab Y 5GHz,88,75.0,2018-11-27,16:46:20
5.0,9.0,USTH-PUBLICT6,72,75.0,2018-11-27,16:46:20
5.0,9.0,USTH502-Guest1,66,75.0,2018-11-27,16:46:20
5.0,9.0,ICTLab 506,63,75.0,2018-11-27,16:46:20
5.0,9.0,USTH502-Guest2,57,75.0,2018-11-27,16:46:20
5.0,9.0,USTH-412,48,75.0,2018-11-27,16:46:20
5.0,9.0,USTH-PMAB,46,75.0,2018-11-27,16:46:20
5.0,9.0,BTTN 07,50,75.0,2018-11-27,16:46:20
5.0,9.0,USTH-UIU,35,75.0,2018-11-27,16:46:20
5.0,9.0,USTH-WEO-RE,33,75.0,2018-11-27,16:46:20
5.0,9.0,USTH_404,39,75.0,2018-11-27,16:46:20
5.0,9.0,,37,75.0,2018-11-27,16:46:20
5.0,9.0,USTH_404_5G,35,75.0,2018-11-27,16:46:20
5.0,9.0,TP-Link_6300,28,75.0,2018-11-27,16:46:20
5.0,9.0,USTH-6TH-STAFF,19,75.0,2018-11-27,16:46:20

5.0,9.0,ICTLab Y,94,160.0,2018-11-27,16:46:24
5.0,9.0,ICTLab Y 5GHz,85,160.0,2018-11-27,16:46:24
5.0,9.0,ICTLab 506,72,160.0,2018-11-27,16:46:24
